Row,OverallOrder,ChildIntOrder,Child,aclew_id,Media,Status,Include,Sample,CodeName,Notes
184,345,27,M-F43-C02,3026,M-F43-C02_093121_005435_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,
185,346,28,M-F43-C02,3026,M-F43-C02_100601_012915_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,
186,347,29,M-F43-C02,3026,M-F43-C02_101217_013531_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,
187,31,4,M-F43-C02,3026,M-F43-C02_101335_013649_000500,0-Pass1,1,random_5mindur_summer2017,random-2,
188,348,30,M-F43-C02,3026,M-F43-C02_103738_020052_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,
189,23,3,M-F43-C02,3026,M-F43-C02_110400_022714_000500,1-XunPt1,1,random_5mindur_summer2017,random-3,
190,90,9,M-F43-C02,3026,M-F43-C02_112104_024418_000500,0-Pass1,1,random_5mindur_summer2017,random-4,
191,349,31,M-F43-C02,3026,M-F43-C02_122248_034602_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,
192,115,12,M-F43-C02,3026,M-F43-C02_125415_041729_000500,0-Pass1,1,random_5mindur_summer2017,random-5,
193,353,35,M-F43-C02,3026,M-F43-C02_131753_044107_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-4,(inclusive) extension of M-F43-C02_132158_044512.mp4
194,350,32,M-F43-C02,3026,M-F43-C02_132158_044512_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-4,dropped because included in extension: M-F43-C02_131753_044107.mp4
195,5,1,M-F43-C02,3026,M-F43-C02_134038_050352_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,
196,351,33,M-F43-C02,3026,M-F43-C02_155832_072146_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,
197,73,8,M-F43-C02,3026,M-F43-C02_164354_080708_000500,0-Pass1,1,random_5mindur_summer2017,random-7,
198,20,2,M-F43-C02,3026,M-F43-C02_165439_081753_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,
199,352,34,M-F43-C02,3026,M-F43-C02_170908_083222_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,
200,48,5,M-F43-C02,3026,M-F43-C02_173634_085948_000500,0-Pass1,1,random_5mindur_summer2017,random-9,
